Record Length,Analog:10000,
Sample Interval,Analog:5.000000E-04,
Vertical Units,CH1:V, CH2:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+1.600000E+02, CH2:+1.000000E+02, CH3:+1.000000E+02, CH4:+1.600000E+02,,
Vertical Offset,CH1:+0.000000E+00, CH2:-2.368333E+03, CH3:+0.000000E+00, CH4:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+05,
Model Number,SDS2104X Plus,
Serial Number,SDS2PDDQ6R1916,
Software Version,5.0.1.3.9R12,
Source,CH1,CH2,CH3,CH4
Second,Value,Value,Value,Value
-2.4695000000E+00,+5.733334E+01,+2.421667E+03,+2.383333E+02,-4.173334E+02
-2.4690000000E+00,+5.600000E+01,+2.418333E+03,+2.383333E+02,-4.186667E+02
-2.4685000000E+00,+5.600000E+01,+2.401667E+03,+2.383333E+02,-4.186667E+02
-2.4680000000E+00,+5.600000E+01,+2.404167E+03,+2.383333E+02,-4.213333E+02
-2.4675000000E+00,+5.866667E+01,+2.405833E+03,+2.383333E+02,-4.186667E+02
-2.4670000000E+00,+5.866667E+01,+2.395000E+03,+2.383333E+02,-4.186667E+02
-2.4665000000E+00,+6.133334E+01,+2.394167E+03,+2.383333E+02,-4.186667E+02
-2.4660000000E+00,+6.133334E+01,+2.423333E+03,+2.383333E+02,-4.240000E+02
-2.4655000000E+00,+6.133334E+01,+2.384167E+03,+2.383333E+02,-4.213333E+02
-2.4650000000E+00,+6.133334E+01,+2.401667E+03,+2.383333E+02,-4.213333E+02
-2.4645000000E+00,+6.133334E+01,+2.395833E+03,+2.383333E+02,-4.200000E+02
-2.4640000000E+00,+6.400001E+01,+2.387500E+03,+2.383333E+02,-4.186667E+02
-2.4635000000E+00,+6.400001E+01,+2.385833E+03,+2.383333E+02,-4.160000E+02
-2.4630000000E+00,+6.266667E+01,+2.445833E+03,+2.383333E+02,-4.146667E+02
-2.4625000000E+00,+6.133334E+01,+2.403333E+03,+2.383333E+02,-4.186667E+02
-2.4620000000E+00,+6.133334E+01,+2.373333E+03,+2.383333E+02,-4.186667E+02
-2.4615000000E+00,+6.133334E+01,+2.410833E+03,+2.383333E+02,-4.186667E+02
-2.4610000000E+00,+5.733334E+01,+2.791667E+03,+2.366667E+02,-4.240000E+02
-2.4605000000E+00,+6.000000E+01,+2.411667E+03,+2.383333E+02,-4.186667E+02
-2.4600000000E+00,+8.266667E+01,+2.791667E+03,+2.433333E+02,-3.880000E+02
-2.4595000000E+00,+4.133334E+01,+2.550000E+03,+2.316667E+02,-4.346667E+02
-2.4590000000E+00,+7.866667E+01,+2.631667E+03,+2.416667E+02,-4.026667E+02
-2.4585000000E+00,+6.266667E+01,+2.435833E+03,+2.383333E+02,-4.133334E+02
-2.4580000000E+00,+6.000000E+01,+2.404167E+03,+2.383333E+02,-4.186667E+02
-2.4575000000E+00,+6.133334E+01,+2.454167E+03,+2.383333E+02,-4.186667E+02
-2.4570000000E+00,+6.000000E+01,+2.443333E+03,+2.383333E+02,-4.213333E+02
-2.4565000000E+00,+6.133334E+01,+2.394167E+03,+2.383333E+02,-4.200000E+02
-2.4560000000E+00,+6.133334E+01,+2.440000E+03,+2.383333E+02,-4.186667E+02
-2.4555000000E+00,+6.400001E+01,+2.397500E+03,+2.383333E+02,-4.213333E+02
-2.4550000000E+00,+6.133334E+01,+2.402500E+03,+2.383333E+02,-4.186667E+02
-2.4545000000E+00,+6.266667E+01,+2.429167E+03,+2.391667E+02,-4.226667E+02
-2.4540000000E+00,+6.666667E+01,+2.400833E+03,+2.383333E+02,-4.213333E+02
-2.4535000000E+00,+6.400001E+01,+2.423333E+03,+2.383333E+02,-4.213333E+02
-2.4530000000E+00,+6.133334E+01,+2.425000E+03,+2.383333E+02,-4.186667E+02
-2.4525000000E+00,+6.266667E+01,+2.416667E+03,+2.383333E+02,-4.186667E+02
-2.4520000000E+00,+6.266667E+01,+2.378333E+03,+2.383333E+02,-4.160000E+02
-2.4515000000E+00,+6.400001E+01,+2.406667E+03,+2.383333E+02,-4.133334E+02
-2.4510000000E+00,+6.133334E+01,+2.415000E+03,+2.383333E+02,-4.133334E+02
-2.4505000000E+00,+5.866667E+01,+2.425000E+03,+2.383333E+02,-4.160000E+02
-2.4500000000E+00,+6.133334E+01,+2.425000E+03,+2.383333E+02,-4.160000E+02
-2.4495000000E+00,+6.266667E+01,+2.408333E+03,+2.383333E+02,-4.160000E+02
-2.4490000000E+00,+5.600000E+01,+2.440833E+03,+2.383333E+02,-4.160000E+02
-2.4485000000E+00,+6.000000E+01,+2.390000E+03,+2.383333E+02,-4.146667E+02
-2.4480000000E+00,+6.133334E+01,+2.435000E+03,+2.383333E+02,-4.133334E+02
-2.4475000000E+00,+1.013333E+02,+2.791667E+03,+2.483333E+02,-3.720000E+02
-2.4470000000E+00,+5.600000E+01,+2.437500E+03,+2.383333E+02,-4.186667E+02
-2.4465000000E+00,+5.733334E+01,+2.431667E+03,+2.383333E+02,-4.173334E+02
-2.4460000000E+00,+5.866667E+01,+2.412500E+03,+2.383333E+02,-4.186667E+02
-2.4455000000E+00,+5.866667E+01,+2.421667E+03,+2.383333E+02,-4.200000E+02
-2.4450000000E+00,+5.866667E+01,+2.404167E+03,+2.383333E+02,-4.186667E+02
-2.4445000000E+00,+5.733334E+01,+2.428333E+03,+2.383333E+02,-4.200000E+02
-2.4440000000E+00,+6.000000E+01,+2.415833E+03,+2.383333E+02,-4.213333E+02
-2.4435000000E+00,+6.133334E+01,+2.427500E+03,+2.383333E+02,-4.186667E+02
-2.4430000000E+00,+6.133334E+01,+2.423333E+03,+2.383333E+02,-4.213333E+02
-2.4425000000E+00,+6.000000E+01,+2.405000E+03,+2.383333E+02,-4.240000E+02
-2.4420000000E+00,+6.400001E+01,+2.415000E+03,+2.383333E+02,-4.240000E+02
-2.4415000000E+00,+6.666667E+01,+2.419167E+03,+2.383333E+02,-4.213333E+02
-2.4410000000E+00,+6.533334E+01,+2.418333E+03,+2.383333E+02,-4.186667E+02
-2.4405000000E+00,+6.400001E+01,+2.402500E+03,+2.383333E+02,-4.186667E+02
-2.4400000000E+00,+6.666667E+01,+2.427500E+03,+2.383333E+02,-4.186667E+02
-2.4395000000E+00,+6.266667E+01,+2.407500E+03,+2.383333E+02,-4.160000E+02
-2.4390000000E+00,+6.133334E+01,+2.386667E+03,+2.383333E+02,-4.160000E+02
-2.4385000000E+00,+6.133334E+01,+2.413333E+03,+2.383333E+02,-4.160000E+02
-2.4380000000E+00,+6.266667E+01,+2.384167E+03,+2.391667E+02,-4.160000E+02
-2.4375000000E+00,+5.600000E+01,+2.374167E+03,+2.366667E+02,-4.213333E+02
-2.4370000000E+00,+6.000000E+01,+2.428333E+03,+2.383333E+02,-4.160000E+02
-2.4365000000E+00,+6.133334E+01,+2.418333E+03,+2.383333E+02,-4.186667E+02
-2.4360000000E+00,+5.600000E+01,+2.573333E+03,+2.366667E+02,-4.186667E+02
-2.4355000000E+00,+6.133334E+01,+2.404167E+03,+2.383333E+02,-4.146667E+02
-2.4350000000E+00,+8.266667E+01,+2.791667E+03,+2.450000E+02,-3.946667E+02
-2.4345000000E+00,+3.466667E+01,+1.948333E+03,+2.316667E+02,-4.466667E+02
-2.4340000000E+00,+6.000000E+01,+2.411667E+03,+2.383333E+02,-4.213333E+02
-2.4335000000E+00,+6.000000E+01,+2.389167E+03,+2.383333E+02,-4.240000E+02
-2.4330000000E+00,+5.733334E+01,+2.390000E+03,+2.383333E+02,-4.186667E+02
-2.4325000000E+00,+6.133334E+01,+2.420000E+03,+2.383333E+02,-4.213333E+02
-2.4320000000E+00,+6.133334E+01,+2.438333E+03,+2.383333E+02,-4.213333E+02
-2.4315000000E+00,+6.133334E+01,+2.419167E+03,+2.400000E+02,-4.213333E+02
-2.4310000000E+00,+6.266667E+01,+2.400833E+03,+2.383333E+02,-4.213333E+02
-2.4305000000E+00,+6.266667E+01,+2.425000E+03,+2.383333E+02,-4.240000E+02
-2.4300000000E+00,+6.666667E+01,+2.410000E+03,+2.383333E+02,-4.226667E+02
-2.4295000000E+00,+6.666667E+01,+2.380000E+03,+2.383333E+02,-4.186667E+02
-2.4290000000E+00,+6.400001E+01,+2.388333E+03,+2.383333E+02,-4.186667E+02
-2.4285000000E+00,+6.666667E+01,+2.418333E+03,+2.383333E+02,-4.160000E+02
-2.4280000000E+00,+6.533334E+01,+2.423333E+03,+2.383333E+02,-4.160000E+02
-2.4275000000E+00,+6.400001E+01,+2.375833E+03,+2.383333E+02,-4.133334E+02
-2.4270000000E+00,+6.133334E+01,+2.393333E+03,+2.383333E+02,-4.146667E+02
-2.4265000000E+00,+6.266667E+01,+2.396667E+03,+2.383333E+02,-4.173334E+02
-2.4260000000E+00,+5.866667E+01,+2.373333E+03,+2.366667E+02,-4.226667E+02
-2.4255000000E+00,+6.000000E+01,+2.410833E+03,+2.383333E+02,-4.133334E+02
-2.4250000000E+00,+6.000000E+01,+2.395833E+03,+2.383333E+02,-4.146667E+02
-2.4245000000E+00,+6.133334E+01,+2.407500E+03,+2.383333E+02,-4.133334E+02
-2.4240000000E+00,+6.133334E+01,+2.400000E+03,+2.383333E+02,-4.133334E+02
-2.4235000000E+00,+6.133334E+01,+2.398333E+03,+2.383333E+02,-4.133334E+02
-2.4230000000E+00,+6.000000E+01,+2.378333E+03,+2.383333E+02,-4.173334E+02
-2.4225000000E+00,+6.533334E+01,+2.457500E+03,+2.400000E+02,-4.080000E+02
-2.4220000000E+00,+6.266667E+01,+2.140833E+03,+2.400000E+02,-4.160000E+02
-2.4215000000E+00,+5.600000E+01,+2.408333E+03,+2.383333E+02,-4.186667E+02
-2.4210000000E+00,+5.600000E+01,+2.387500E+03,+2.383333E+02,-4.186667E+02
-2.4205000000E+00,+5.866667E+01,+2.385000E+03,+2.383333E+02,-4.200000E+02
-2.4200000000E+00,+5.866667E+01,+2.425000E+03,+2.383333E+02,-4.186667E+02
-2.4195000000E+00,+5.866667E+01,+2.380000E+03,+2.391667E+02,-4.200000E+02
-2.4190000000E+00,+6.133334E+01,+2.429167E+03,+2.383333E+02,-4.213333E+02
-2.4185000000E+00,+6.266667E+01,+2.398333E+03,+2.383333E+02,-4.240000E+02
-2.4180000000E+00,+6.133334E+01,+2.455000E+03,+2.383333E+02,-4.213333E+02
-2.4175000000E+00,+6.133334E+01,+2.389167E+03,+2.383333E+02,-4.186667E+02
-2.4170000000E+00,+6.400001E+01,+2.410000E+03,+2.383333E+02,-4.186667E+02
-2.4165000000E+00,+6.266667E+01,+2.436667E+03,+2.383333E+02,-4.160000E+02
-2.4160000000E+00,+6.133334E+01,+2.434167E+03,+2.383333E+02,-4.133334E+02
-2.4155000000E+00,+6.133334E+01,+2.411667E+03,+2.383333E+02,-4.160000E+02
-2.4150000000E+00,+6.133334E+01,+2.404167E+03,+2.383333E+02,-4.186667E+02
-2.4145000000E+00,+6.133334E+01,+2.380000E+03,+2.383333E+02,-4.186667E+02
-2.4140000000E+00,+6.000000E+01,+2.426667E+03,+2.383333E+02,-4.186667E+02
-2.4135000000E+00,+6.133334E+01,+2.426667E+03,+2.383333E+02,-4.173334E+02
-2.4130000000E+00,+6.133334E+01,+2.439167E+03,+2.383333E+02,-4.186667E+02
-2.4125000000E+00,+6.133334E+01,+2.411667E+03,+2.383333E+02,-4.186667E+02
-2.4120000000E+00,+6.133334E+01,+2.409167E+03,+2.383333E+02,-4.173334E+02
-2.4115000000E+00,+5.866667E+01,+2.405000E+03,+2.383333E+02,-4.186667E+02
-2.4110000000E+00,+5.600000E+01,+2.415000E+03,+2.383333E+02,-4.213333E+02
-2.4105000000E+00,+5.733334E+01,+2.428333E+03,+2.383333E+02,-4.240000E+02
-2.4100000000E+00,+1.173333E+02,+2.791667E+03,+2.516667E+02,-3.693333E+02
-2.4095000000E+00,+4.533334E+01,+2.508333E+03,+2.350000E+02,-4.346667E+02
-2.4090000000E+00,+6.133334E+01,+2.424167E+03,+2.383333E+02,-4.226667E+02
-2.4085000000E+00,+6.133334E+01,+2.425000E+03,+2.383333E+02,-4.240000E+02
-2.4080000000E+00,+6.400001E+01,+2.443333E+03,+2.383333E+02,-4.240000E+02
-2.4075000000E+00,+6.533334E+01,+2.430833E+03,+2.383333E+02,-4.226667E+02
-2.4070000000E+00,+6.666667E+01,+2.435833E+03,+2.383333E+02,-4.240000E+02
-2.4065000000E+00,+6.666667E+01,+2.418333E+03,+2.383333E+02,-4.226667E+02
-2.4060000000E+00,+6.666667E+01,+2.393333E+03,+2.383333E+02,-4.213333E+02
-2.4055000000E+00,+6.666667E+01,+2.438333E+03,+2.383333E+02,-4.186667E+02
-2.4050000000E+00,+6.666667E+01,+2.398333E+03,+2.383333E+02,-4.186667E+02
-2.4045000000E+00,+6.666667E+01,+2.426667E+03,+2.383333E+02,-4.133334E+02
-2.4040000000E+00,+6.400001E+01,+2.421667E+03,+2.383333E+02,-4.133334E+02
-2.4035000000E+00,+6.133334E+01,+2.402500E+03,+2.383333E+02,-4.146667E+02
-2.4030000000E+00,+6.133334E+01,+2.395833E+03,+2.383333E+02,-4.160000E+02
-2.4025000000E+00,+6.133334E+01,+2.408333E+03,+2.383333E+02,-4.186667E+02
-2.4020000000E+00,+6.133334E+01,+2.419167E+03,+2.383333E+02,-4.133334E+02
-2.4015000000E+00,+6.133334E+01,+2.410833E+03,+2.383333E+02,-4.146667E+02
-2.4010000000E+00,+6.133334E+01,+2.385000E+03,+2.391667E+02,-4.133334E+02
-2.4005000000E+00,+6.133334E+01,+2.398333E+03,+2.383333E+02,-4.133334E+02
-2.4000000000E+00,+5.866667E+01,+2.390000E+03,+2.383333E+02,-4.133334E+02
-2.3995000000E+00,+5.733334E+01,+2.404167E+03,+2.383333E+02,-4.160000E+02
-2.3990000000E+00,+5.600000E+01,+2.380833E+03,+2.383333E+02,-4.186667E+02
-2.3985000000E+00,+5.866667E+01,+2.388333E+03,+2.383333E+02,-4.186667E+02
-2.3980000000E+00,+5.600000E+01,+2.398333E+03,+2.383333E+02,-4.186667E+02
-2.3975000000E+00,+6.000000E+01,+2.791667E+03,+2.391667E+02,-4.200000E+02
-2.3970000000E+00,+5.333334E+01,+2.348333E+03,+2.350000E+02,-4.240000E+02
-2.3965000000E+00,+6.133334E+01,+2.401667E+03,+2.383333E+02,-4.226667E+02
-2.3960000000E+00,-2.666667E+01,+2.791667E+03,+2.150000E+02,-5.013333E+02
-2.3955000000E+00,+6.133334E+01,+2.389167E+03,+2.383333E+02,-4.213333E+02
-2.3950000000E+00,+6.400001E+01,+2.415000E+03,+2.383333E+02,-4.213333E+02
-2.3945000000E+00,+6.400001E+01,+2.425833E+03,+2.383333E+02,-4.213333E+02
-2.3940000000E+00,+6.133334E+01,+2.440000E+03,+2.383333E+02,-4.186667E+02
-2.3935000000E+00,+6.266667E+01,+2.413333E+03,+2.383333E+02,-4.186667E+02
-2.3930000000E+00,+6.666667E+01,+2.430000E+03,+2.383333E+02,-4.160000E+02
-2.3925000000E+00,+6.133334E+01,+2.409167E+03,+2.383333E+02,-4.133334E+02
